image_url,categories,code,product_name,generic_name
https://images.openfoodfacts.org/images/products/789/627/200/3879/front_pt.3.400.jpg,,7896272003879,Pepino Cornichon Em Conserva Vale Fértil Vidro 180g,
https://images.openfoodfacts.org/images/products/789/627/200/3961/front_pt.3.400.jpg,,7896272003961,Pepino Em Conserva Vale Fértil Vidro 300g,
https://images.openfoodfacts.org/images/products/789/627/200/4180/front_pt.3.400.jpg,,7896272004180,Azeitona Verde Em Conserva Arauco Com Caroço Vale Fértil Sachê 150g,
https://images.openfoodfacts.org/images/products/789/627/200/4197/front_pt.3.400.jpg,,7896272004197,Azeitona Verde Em Conserva Fatiada Vale Fértil Sachê 120g,
https://images.openfoodfacts.org/images/products/789/627/200/4203/front_pt.3.400.jpg,,7896272004203,Azeitona Verde Em Conserva Sem Caroço Vale Fértil Sachê 120g,
https://images.openfoodfacts.org/images/products/789/627/200/4210/front_pt.3.400.jpg,,7896272004210,Azeitona Verde Em Conserva Recheio Pimentão Vale Fértil Sachê 150g,
https://images.openfoodfacts.org/images/products/789/627/200/4227/front_pt.3.400.jpg,,7896272004227,Azeitona Verde Em Conserva Light Vale Fértil Sachê 150g,
https://images.openfoodfacts.org/images/products/789/627/200/5682/front_pt.3.400.jpg,,7896272005682,Azeitona Verde Em Conserva Recheio Anchova Vale Fértil Vidro 130g,
https://images.openfoodfacts.org/images/products/789/627/200/5705/front_pt.3.400.jpg,,7896272005705,Azeitona Verde Em Conserva Recheio Limão Vale Fértil Vidro 130g,
https://images.openfoodfacts.org/images/products/789/627/200/5712/front_pt.3.400.jpg,,7896272005712,Azeitona Verde Em Conserva Recheio Presunto Vale Fértil Vidro 130g,
https://images.openfoodfacts.org/images/products/789/627/200/5729/front_pt.3.400.jpg,,7896272005729,Azeitona Verde Em Conserva Recheio Queijo Azul Vale Fértil Vidro 130g,
https://images.openfoodfacts.org/images/products/789/627/200/5736/front_pt.3.400.jpg,,7896272005736,Azeitona Verde Em Conserva Recheio Salmão Vale Fértil Vidro 130g,
https://images.openfoodfacts.org/images/products/789/627/200/9079/front_pt.3.400.jpg,,7896272009079,Azeitona Preta Em Conserva Fatiada Vale Fértil Sachê 120g,
https://images.openfoodfacts.org/images/products/789/627/200/9321/front_pt.3.400.jpg,,7896272009321,Snack De Azeitona Verde Provençal Vale Fértil Oliv Pacote 50g,
https://images.openfoodfacts.org/images/products/789/627/200/9338/front_pt.3.400.jpg,,7896272009338,Snack De Azeitona Verde Chilli Vale Fértil Oliv Pacote 50g,
https://images.openfoodfacts.org/images/products/789/627/200/9420/front_pt.3.400.jpg,,7896272009420,Azeitona Verde Em Conserva Recheio Alho Vale Fértil Vidro 130g,
https://images.openfoodfacts.org/images/products/789/627/200/9444/front_pt.3.400.jpg,,7896272009444,Azeitona Verde Em Conserva Gordal Sem Caroço Vale Fértil Premium Vidro 400g,
https://images.openfoodfacts.org/images/products/789/627/201/0013/front_pt.3.400.jpg,,7896272010013,Azeitona Verde Em Conserva Graúda Mexicano Vale Fértil Vidro 300g,
https://images.openfoodfacts.org/images/products/789/627/201/0020/front_pt.3.400.jpg,,7896272010020,Azeitona Verde Em Conserva Graúda Sem Caroço Anchova Vale Fértil Vidro 280g,
https://images.openfoodfacts.org/images/products/789/627/201/0044/front_pt.3.400.jpg,,7896272010044,Alcaparra Em Conserva Vale Fértil Sachê 100g,
https://images.openfoodfacts.org/images/products/789/627/390/2010/front_pt.4.400.jpg,"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Legumes e seus produtos, Legumes, Sementes, Sementes de legumes, Pulsos, en:Common beans, en:Red beans",7896273902010,Feijão vermelho,
https://images.openfoodfacts.org/images/products/789/627/390/6971/front_pt.4.400.jpg,"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Produtos secos, Produtos secos a serem rehidratados, en:Falafel mixes",7896273906971,Mistura para quibe,Mistura para quibe
https://images.openfoodfacts.org/images/products/789/627/590/0212/front_pt.4.400.jpg,Alimentos Congelados,7896275900212,Hambúrguer de proteína vegetal,
https://images.openfoodfacts.org/images/products/789/627/597/0185/front_en.18.400.jpg,Laticínios,7896275970185,Nata,
https://images.openfoodfacts.org/images/products/789/627/960/0538/front_en.4.400.jpg,,7896279600538,,
https://images.openfoodfacts.org/images/products/789/628/300/0072/front_pt.4.400.jpg,"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Cereais e Batatas, Cereais e seus produtos, en:Bran, en:Cereal brans, Farelo de aveia",7896283000072,Farelo de Aveia,Farelo de Aveia
https://images.openfoodfacts.org/images/products/789/628/300/0171/front_en.5.400.jpg,,7896283000171,,
https://images.openfoodfacts.org/images/products/789/628/300/0409/front_pt.16.400.jpg,"Alimentos e bebidas à base de plantas, Alimentos à base de plantas, Pequenos alomoços, Cereais e Batatas, Cereais e seus produtos, Cereias para pequeno-almoçco, Muesli",7896283000409,granola tradicional com coco e uvas-passas,
https://images.openfoodfacts.org/images/products/789/628/300/0430/front_pt.3.400.jpg,,7896283000430,Granola Cereais Maltados Jasmine Pouch 250g,
https://images.openfoodfacts.org/images/products/789/628/300/0508/front_pt.5.400.jpg,,7896283000508,Granola Maçã E Canela Jasmine Pouch 250g,
https://images.openfoodfacts.org/images/products/789/628/300/0874/front_pt.3.400.jpg,,7896283000874,Biscoito Rosquinha Vegano Integral Maçã E Banana Jasmine Pacote 120g,
https://images.openfoodfacts.org/images/products/789/628/300/0898/front_pt.12.400.jpg,,7896283000898,Biscoito Cookie Vegano Integral Chocolate Com Gotas De Chocolate Jasmine Pacote 120g,
https://images.openfoodfacts.org/images/products/789/628/300/1291/front_pt.12.400.jpg,,7896283001291,Maçã Seca Crocante Jasmine Pacote 40g,
https://images.openfoodfacts.org/images/products/789/628/300/1581/front_pt.3.400.jpg,,7896283001581,Biscoito Rosquinha Vegano Integral Coco Zero Açúcar Jasmine Pacote 120g,
https://images.openfoodfacts.org/images/products/789/628/300/1697/front_pt.3.400.jpg,,7896283001697,Biscoito Rosquinha Vegano Integral Laranja E Cenoura Zero Açúcar Jasmine Pacote 120g,
https://images.openfoodfacts.org/images/products/789/628/300/2069/front_pt.3.400.jpg,,7896283002069,Biscoito Cookie Vegano Integral Castanha Do Pará E Caju Sem Glúten Jasmine Pacote 120g,
https://images.openfoodfacts.org/images/products/789/628/300/2878/front_pt.3.400.jpg,,7896283002878,Quinoa Mista Em Grãos Orgânica Jasmine Caixa 200g,
https://images.openfoodfacts.org/images/products/789/628/300/3585/front_pt.3.400.jpg,,7896283003585,Quinoa Em Grãos Orgânica Jasmine Caixa 200g,
https://images.openfoodfacts.org/images/products/789/628/300/4346/front_pt.3.400.jpg,,7896283004346,Farinha De Chia Integral Jasmine Pacote 200g,
